directory,stage,path,latency_s,mean_r,mean_g,mean_b,mean_exg,std_exg,mean_ngrdi,mean_rbr,bright_fraction,boll_count_proxy,white_region_fraction
Part_one_pre_def_rgb,pre_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/Part_one_pre_def_rgb/DJI_20250929095833_0336_D.JPG,3.7931816577911377,102.31826782226562,96.02069854736328,67.42853546142578,22.294607162475586,29.311519622802734,-0.04409322142601013,868064.25,0.08062953856052946,5082.0,0.019175226736526028
Part_one_pre_def_rgb,pre_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/Part_one_pre_def_rgb/DJI_20250929095835_0337_D.JPG,3.8001813888549805,97.1748275756836,91.61634063720703,65.19676208496094,20.861019134521484,27.769716262817383,-0.041134584695100784,718532.9375,0.062093923307902074,5071.0,0.018674788200508625
Part_one_pre_def_rgb,pre_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/Part_one_pre_def_rgb/DJI_20250929095837_0338_D.JPG,3.794900417327881,102.58300018310547,97.03593444824219,68.14907836914062,23.339624404907227,29.57459831237793,-0.038179486989974976,876076.375,0.08563464204736955,4953.0,0.01895806523271134
Part_one_pre_def_rgb,pre_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/Part_one_pre_def_rgb/DJI_20250929095839_0339_D.JPG,3.8313229084014893,96.6307373046875,92.14228057861328,65.015380859375,22.638656616210938,27.702220916748047,-0.031232576817274094,717052.8125,0.06123083080552747,4736.0,0.01736789341851273
Part_one_pre_def_rgb,pre_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/Part_one_pre_def_rgb/DJI_20250929095841_0340_D.JPG,3.7892744541168213,100.74022674560547,95.85723876953125,66.5065689086914,24.467805862426758,29.36115837097168,-0.03258880227804184,944740.875,0.07781582253270827,4594.0,0.017463021264209334
Part_one_pre_def_rgb,pre_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/Part_one_pre_def_rgb/DJI_20250929095843_0341_D.JPG,3.783658027648926,95.531494140625,91.7225570678711,62.25210189819336,25.66146469116211,28.82733154296875,-0.02635871060192585,942500.75,0.05700905988601893,3918.0,0.014280475380702883
Part_one_pre_def_rgb,pre_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/Part_one_pre_def_rgb/DJI_20250929095845_0342_D.JPG,3.792109251022339,97.98271942138672,94.7292251586914,63.71507263183594,27.760366439819336,29.603452682495117,-0.02126811258494854,1063003.125,0.06592402794374483,3966.0,0.014547618500474922
Part_one_pre_def_rgb,pre_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/Part_one_pre_def_rgb/DJI_20250929095847_0343_D.JPG,3.7918412685394287,92.26148223876953,89.82796478271484,61.850948333740234,25.543724060058594,28.807260513305664,-0.015714159235358238,821326.0,0.05141590640990287,3995.0,0.014970307856114227
Part_one_pre_def_rgb,pre_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/Part_one_pre_def_rgb/DJI_20250929095849_0344_D.JPG,3.80234694480896,97.3170394897461,94.07685089111328,65.58018493652344,25.256610870361328,29.81865119934082,-0.02030249498784542,830141.5625,0.0640715005208812,4507.0,0.017879821981186997
Part_one_pre_def_rgb,pre_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/Part_one_pre_def_rgb/DJI_20250929095851_0345_D.JPG,3.7741074562072754,91.2508773803711,89.51905822753906,59.69355010986328,28.09349250793457,30.153671264648438,-0.011950897984206676,989212.6875,0.04616343222416276,3499.0,0.01244240624138248
